ID;N_VICTIMAS;FECHA;AAAA;MM;DD;HORA;HH;LUGAR_DEL_HECHO;TIPO_DE_CALLE;Calle;Altura;Cruce;Direcci�n Normalizada;COMUNA;XY (CABA);pos x;pos y;PARTICIPANTES;VICTIMA;ACUSADO
2016-0037;1;19/03/2016;2016;3;19;11:00:00;11;AV. EVA PERON Y QUIRNO;AVENIDA;LAFUENTE AV.;;QUIRNO;LAFUENTE AV. y QUIRNO;7;Point (100049.60313526 98412.21255444);-5.846.275.892;-34.64358293;MOTO-MOTO;MOTO;MOTO
2016-0038;1;21/03/2016;2016;3;21;8:06:00;8;AV GRAL PAZ COLECTORA Y ZUVIRIA;GRAL PAZ;PAZ, GRAL. AV.;;ZUVIRIA;PAZ, GRAL. AV. y ZUVIRIA;8;Point (96926.79887463 94490.76318635);-5.849.683.458;-34.67892743;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0039;1;23/03/2016;2016;3;23;1:50:00;1;BARTOLOME MITRE Y AV PUEYRREDON;AVENIDA;MITRE, BARTOLOME;;PUEYRREDON AV.;MITRE, BARTOLOME y PUEYRREDON AV.;3;Point (105252.60308563 102264.96028996);-5.840.603.217;-34.60883960;MOTO-PASAJEROS;MOTO;PASAJEROS
2016-0041;2;29/03/2016;2016;3;29;11:00:00;11;AV DIRECTORIO Y RIVERA INDARTE;AVENIDA;DIRECTORIO AV.;;RIVERA INDARTE AV.;DIRECTORIO AV. y RIVERA INDARTE AV.;7;Point (100232.38564985 99530.25843190);-5.846.076.550;-34.63350444;MOTO-CARGAS;MOTO;CARGAS
2016-0043;1;30/03/2016;2016;3;30;18:15:00;18;DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO;AVENIDA;DELLEPIANE, LUIS, TTE. GRAL.;;MURGUIONDO;DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO;8;Point (98623.04338909 94933.06478837);-5.847.832.463;-34.67494416;PEATON-CARGAS;PEATON;CARGAS
2016-0044;1;31/03/2016;2016;3;31;19:40:00;19;AV JOSE MARIA MORENO Y BALBASTRO;AVENIDA;MORENO, JOSE MARIA AV.;;BALBASTRO;MORENO, JOSE MARIA AV. y BALBASTRO;7;Point (102857.73817324 99148.76714504);-5.843.213.235;-34.63693953;MULTIPLE;MOTO;MULTIPLE
2016-0045;1;11/04/2016;2016;4;11;10:25:00;10;AV GRAL PAZ Y AV DEL LIBERTADOR;GRAL PAZ;PAZ, GRAL. AV.;;DEL LIBERTADOR AV.;PAZ, GRAL. AV. y DEL LIBERTADOR AV.;13;Point (99620.34936816 110483.29286598);-5.846.743.471;-34.53476874;MOTO-SD;MOTO;SD
2016-0047;1;15/04/2016;2016;4;15;5:30:00;5;LIMA 1483;CALLE;LIMA;1483;;LIMA 1483;1;Point (107412.19098904 100391.02557777);-5.838.247.061;-34.62571878;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0048;1;15/04/2016;2016;4;15;17:40:00;17;AV. CORRIENTES Y AV. DORREGO;AVENIDA;CORRIENTES AV.;;DORREGO AV.;CORRIENTES AV. y DORREGO AV.;15;Point (101440.29935254 104167.40204334);-5.844.759.966;-34.59170240;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0049;1;17/04/2016;2016;4;17;0:00:00;0;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700;AUTOPISTA;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI;;;AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI;4;Point (. .);-5.837.714.647.568.190;-34.63657525428238;SD-SD;SD;SD
2016-0050;1;19/04/2016;2016;4;19;9:50:00;9;TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ;AVENIDA;GORDILLO, TIMOTEO;;FERNANDEZ DE LA CRUZ, F., GRAL. AV.;GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.;8;Point (99106.14718950 93761.32882893);-5.847.305.463;-34.68550712;PEATON-PASAJEROS;PEATON;PASAJEROS
2016-0051;1;2   0/04/2016;2016;4;20;4:00:00;4;AV AMANCIO ALCORTA Y BONAVENA;AVENIDA;ALCORTA, AMANCIO AV.;;BONAVENA, OSCAR NATALIO;ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO;4;Point (105230.98315750 97613.97258373);-5.840.623.949;-34.65076549;MOTO-CARGAS;MOTO;CARGAS
